FECHA,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA
2024-10-02,4,944.53,4019312.1,3925602.25,0.0,98775.11,0.0
2024-10-02,5,944.53,4004402.63,4382979.87,850.56,98456.27,345.96000000000004
2024-10-02,6,944.53,4033762.82,4361168.43,192146.68,98806.42,296.63
2024-10-02,7,944.53,4024568.8099999996,4329742.359999999,649303.58,97254.95999999999,213.28
2024-10-02,8,944.53,3911695.86,4536249.95,900701.64,102270.45,0.0
2024-10-02,9,944.53,3947934.81,4588071.05,982279.23,93969.5,0.0
2024-10-02,10,1008.65,3973275.76,4873559.0600000005,1164194.98,85717.03,9.53
2024-10-02,11,1008.65,3988598.4899999998,4982308.54,1354885.59,93205.91,2422.76
2024-10-02,12,1008.65,4055762.86,4901744.25,1341933.87,95795.38,3881.27
2024-10-02,13,1008.65,4107383.68,5210909.9,1168756.7,92179.98,3839.02
2024-10-02,14,1398.53,4250400.39,5451530.7299999995,1086830.52,92456.8,3944.01
2024-10-02,15,1398.53,4298357.2,5753799.46,755379.8200000001,90681.0,4642.07
2024-10-02,16,1400.53,4337360.75,5796214.82,460646.82,91551.36,7248.93
2024-10-02,17,1400.53,4390210.93,5904228.25,89565.2,91576.19,6642.13
2024-10-02,18,1659.43,4430787.3100000005,6486305.23,52.81,90408.57,4800.45
2024-10-02,19,1659.43,4443237.24,6457766.51,0.0,87888.36,6170.77
2024-10-02,20,1659.42,4435259.44,6174598.75,0.0,97210.42,6940.48
2024-10-02,21,1400.53,4316734.57,5828191.26,0.0,95021.36,7037.530000000001
2024-10-02,22,1008.65,4280871.58,5210907.46,0.0,94226.26,5497.65
2024-10-02,23,1008.65,4227012.02,4658326.5200000005,0.0,92169.75,5866.969999999999
2024-10-03,0,1658.41,4208895.5,4224815.05,0.0,94704.88,4319.93
2024-10-03,1,1390.52,4270798.93,3890139.48,0.0,97119.85,4009.46
2024-10-03,2,1089.08,4306407.86,3675307.33,0.0,86928.13,3123.21
2024-10-03,3,1089.08,4376315.0,3496557.9,0.0,91797.33,2763.5
2024-10-03,4,1089.08,4376031.09,3616877.54,0.0,96976.38,1808.35
2024-10-03,5,1089.08,4426284.59,3930286.77,1439.29,98442.91,790.37
2024-10-03,6,1089.08,4353926.1899999995,3975307.1399999997,221223.91999999998,98197.05,122.92
